Фирма,Область,Код области,Товар,Код товара,ЕИ,Производитель,Количество,Поставщик
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,173.0046,УП,"Астра Зенека  АБ, Швеція",20,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,173.0045,УП,"Астра Зенека  АБ, Швеція",9,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,173.0033,УП,"Астра Зенека  АБ, Швеція",104,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) Смотка 1+1 **,5371011.0,УП,"Астра Зенека  АБ, Швеція",15,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,173.0034,УП,"Астра Зенека  АБ, Швеція",193,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,173.0031,УП,"Астра Зенека  АБ, Швеція",540,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,5371001.0,УП,"Астра Зенека  АБ, Швеція",44,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,173.0038,УП,"Астра Зенека  АБ, Швеція",81,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,5581002.0,УП,"Астра Зенека ЮК Лімітед, Велика Британія",1016,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,173.0021,УП,"Астра Зенека  АБ, Швеція",8,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,173.0024,УП,"Астра Зенека  АБ, Швеція",79,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,173.002,УП,"Астра Зенека  АБ, Швеція",35,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,173.0022,УП,"Сенексі, Франція",1,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,5371007.0,УП,"Астра Зенека  АБ, Швеція",1,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,173.0088,УП,"Астра Зенека  АБ, Швеція",73,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер Спец1,5371013.0,УП,"Астра Зенека  АБ, Швеція",155,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Будесонід Астразенека сусп.д/расп.0.25 мг/мл 2мл конт.конв.№20(5х4) карт уп*,6503002.0,УП,"АстраЗенека АБ, Швеція",2,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,6503001.0,УП,"АстраЗенека АБ, Швеція",73,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Крестор табл. в / пл.об. 40мг N28 (7х4),173.0097,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",11,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,173.0087,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",44,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,173.0026,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",37,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Крестор табл.в / пл.об.10мг N28 (14х2),173.0025,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",86,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,5543002.0,УП,"АстраЗенека Фармасьютикалс ЛП, США ",99,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,5543003.0,УП,"АстраЗенека Фармасьютикалс ЛП, США ",17,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,173.0054,УП,"Астра Зенека ЮК Лімітед, Велика Британія",5,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,173.0046,УП,"Астра Зенека  АБ, Швеція",10,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,173.0045,УП,"Астра Зенека  АБ, Швеція",9,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,173.0033,УП,"Астра Зенека  АБ, Швеція",124,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) Смотка 1+1 **,5371011.0,УП,"Астра Зенека  АБ, Швеція",16,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,173.0034,УП,"Астра Зенека  АБ, Швеція",140,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,173.0031,УП,"Астра Зенека  АБ, Швеція",674,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,5371001.0,УП,"Астра Зенека  АБ, Швеція",37,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,173.0038,УП,"Астра Зенека  АБ, Швеція",123,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВОЛЫНСКАЯ,194,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,5581002.0,УП,"Астра Зенека ЮК Лімітед, Велика Британія",367,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Аримідекс табл.в / пл.об. 1 мг N28 (14х2) блістер *,173.0011,УП,"Астра Зенека Фармасьютикалс ЛП,США/Астра Зенека ЮК Лiмiтед, Великобританiя",3,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,173.0021,УП,"Астра Зенека  АБ, Швеція",17,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,173.0024,УП,"Астра Зенека  АБ, Швеція",115,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,173.002,УП,"Астра Зенека  АБ, Швеція",79,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,173.0022,УП,"Сенексі, Франція",5,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,5371007.0,УП,"Астра Зенека  АБ, Швеція",13,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,173.0088,УП,"Астра Зенека  АБ, Швеція",311,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер Спец1,5371013.0,УП,"Астра Зенека  АБ, Швеція",80,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Будесонід Астразенека сусп.д/расп.0.25 мг/мл 2мл конт.конв.№20(5х4) карт уп*,6503002.0,УП,"АстраЗенека АБ, Швеція",1,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,6503001.0,УП,"АстраЗенека АБ, Швеція",140,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,173.0029,УП,"Астра Зенека ЮК Лімітед, Великобританія",10,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,173.0001,УП,"Астра Зенека ЮК Лімітед, Великобританія",3,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,173.0007,УП,"Корден Фарма С.п.А (""in bulk"" пак.), Італія ( Астра Зенека ЮК Лімітед, Великобританія)",2,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Касодекс® табл. в / пл.об.150мг N28 *,173.0028,УП,"Корден Фарма С.п.А (""in bulk"" пак.), Італія ( Астра Зенека ЮК Лімітед, Великобританія)",2,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4),5543005.0,УП,"АстраЗенека Фармасьютикалс ЛП, США ",8,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Крестор табл. в / пл.об. 40мг N28 (7х4),173.0097,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",63,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,173.0087,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",107,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,173.0026,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",167,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Крестор табл.в / пл.об.10мг N28 (14х2),173.0025,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",132,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,5543002.0,УП,"АстраЗенека Фармасьютикалс ЛП, США ",185,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,5543003.0,УП,"АстраЗенека Фармасьютикалс ЛП, США ",57,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Лінпарза табл.вк/пл.об.150мг \№56(7х8) блістер,4727002.0,УП,"Астра Зенека ЮК Лімітед, Велика Британія",1,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Лінпарза табл.вк/пл.об.150мг №56(7х8) блістер Акція,4727004.0,УП,"Астра Зенека ЮК Лімітед, Велика Британія",1,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Онгліза табл.в / пл.об. 2.5мг N30 (10х3) блістер,173.0055,УП,"Астра Зенека ЮК Лімітед, Велика Британія",3,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,173.0054,УП,"Астра Зенека ЮК Лімітед, Велика Британія",46,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,173.0046,УП,"Астра Зенека  АБ, Швеція",40,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,173.0045,УП,"Астра Зенека  АБ, Швеція",20,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,173.0033,УП,"Астра Зенека  АБ, Швеція",272,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) Смотка 1+1 **,5371011.0,УП,"Астра Зенека  АБ, Швеція",32,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,173.0034,УП,"Астра Зенека  АБ, Швеція",392,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Сероквель XR табл.прол.дії 200мг N60 (10х6) блістер,173.0053,УП,"Астра Зенека ЮК Лімітед, Великобританія",9,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Сероквель XR табл.прол.дії50мг N60 (10х6) блістер,173.005,УП,"Астра Зенека ЮК Лімітед, Великобританія",2,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,173.0031,УП,"Астра Зенека  АБ, Швеція",935,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,5371001.0,УП,"Астра Зенека  АБ, Швеція",54,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,173.0038,УП,"Астра Зенека  АБ, Швеція",91,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Тагріссо табл. в / пл.об. 80мг №30 (10х3) блістер,5371008.0,УП,"Астра Зенека  АБ, Швеція",1,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Тагріссо табл. п / в / пл.об.б. 80мг №30 (10х3) блістер Акція,5371010.0,УП,"Астра Зенека  АБ, Швеція",2,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Фазлодекс р-н д / ін 250мг / 5мл предв.заполн.шпріц 5мл N2 з 2-ма стер.ігламі*,173.0092,УП,"Астра Зенека ЮК Лімітед, Велика Британія",1,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДНЕПРОПЕТРОВСКАЯ,196,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,5581002.0,УП,"Астра Зенека ЮК Лімітед, Велика Британія",554,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДОНЕЦКАЯ,197,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,173.0021,УП,"Астра Зенека  АБ, Швеція",2,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДОНЕЦКАЯ,197,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,173.0024,УП,"Астра Зенека  АБ, Швеція",10,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДОНЕЦКАЯ,197,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,173.002,УП,"Астра Зенека  АБ, Швеція",7,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДОНЕЦКАЯ,197,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,173.0022,УП,"Сенексі, Франція",1,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДОНЕЦКАЯ,197,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,173.0088,УП,"Астра Зенека  АБ, Швеція",10,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДОНЕЦКАЯ,197,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,6503001.0,УП,"АстраЗенека АБ, Швеція",8,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДОНЕЦКАЯ,197,Крестор табл. в / пл.об. 40мг N28 (7х4),173.0097,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",1,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДОНЕЦКАЯ,197,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,173.0087,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",6,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДОНЕЦКАЯ,197,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,173.0026,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",12,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДОНЕЦКАЯ,197,Крестор табл.в / пл.об.10мг N28 (14х2),173.0025,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",9,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДОНЕЦКАЯ,197,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,5543002.0,УП,"АстраЗенека Фармасьютикалс ЛП, США ",14,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДОНЕЦКАЯ,197,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,5543003.0,УП,"АстраЗенека Фармасьютикалс ЛП, США ",2,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДОНЕЦКАЯ,197,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,173.0054,УП,"Астра Зенека ЮК Лімітед, Велика Британія",4,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДОНЕЦКАЯ,197,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,173.0046,УП,"Астра Зенека  АБ, Швеція",2,АСТРАЗЕНЕКА АБ (632)
