Назва продукту,"Всього, уп",Адреса клієнта-одержувача,Область України
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"75 Запоріжжя, вул.Щаслива 3 (Ліве крило будинку)",Запоріжська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",2,"69027, м.Запоріжжя, вул.Барикадная, 35-склад,",Запоріжська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"176 Кам'янське, вул.Ніколенка 13А",Дніпропетровська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"Одеська обл., Біляївський р-н, с.Маяки, вул.Преображенська, 83",Одеська
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",1,"ул. Люстдорфская дорога 69-А, г. Одесса",Одеська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,30,"ул. Люстдорфская дорога 69-А, г. Одесса",Одеська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"А18м.Одеса, вул.Святослава Ріхтера, 129",Одеська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"А10 м.Одеса, вул.Люстдорфська дорога, 123/1",Одеська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",3,"м.Одеса, вул. Балковська, 130",Одеська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,3,"Ф-12 м. Вінниця, вул. Київська, 68-а",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",5,"54055 м.Миколаїв, вул. Погранична  80а/1",Миколаївська
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",1,"Миколаївська обл., м.Южноукраїнськ, пр-т Леніна, 8 (Аптека №6)",Миколаївська
Крестор таб. в/о 40мг №28 (7х4) бліст.,1,"Ф-102 м. Вінниця, вул. Пирогова, 112-А",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КА-139 м. Умань, вул. Мазепи, 2А",Черкаська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",11,"КА-139 м. Умань, вул. Мазепи, 2А",Черкаська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"200 Умань, вул.Небесної Сотні 22",Черкаська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"200 Умань, вул.Небесної Сотні 22",Черкаська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"КА-132 смт Маньківка, вул.Благодатна, б.2/4, прим.1",Черкаська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"м.Тальне, вул. Соборна, д. 41",Черкаська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"П-16 Львівська обл., Яворівський р-н, м. Судова Вишня, вул. Сагайдачного, 5, КНП ""Судововишнянська комунальна міська лікарня""",Львівська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"А-20 Львівська обл., Стрийський р-н., м. Жидачів, вул. Грушевського М., 41/8",Львівська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",2,"А-37 Львівська обл. м.Миколаїв вул.Шептицького,15",Львівська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,3,"А-37 Львівська обл. м.Миколаїв вул.Шептицького,15",Львівська
Крестор таб. в/о 40мг №28 (7х4) бліст.,1,"А-33 Львівська обл., м. Стрий, вул. Хмельницького Б., 12/2",Львівська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"А-10 м. Львів, вул. Городоцька, 2",Львівська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"А-19 м. Львів, вул. Володимира Великого, 51",Львівська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"А-27 м.Львів,вул.Героїв УПА,76",Львівська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",2,"А-5 м. Львів, вул.Замарстинівська, 127, прим.№180",Львівська
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",1,"А-29 м. Львів, вул. Угорська, 12",Львівська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"А-6 Львівська обл, Львівський р-н, смт Рудне, вул. Володимира Великого, 2",Львівська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,10,"вул. Кам'янецька, 44, м.Львів",Львівська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"№21 м.Львів, вул.Городоцька, 181  94907d37-9851-11e1-a08b-9c8e992e54ad",Львівська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"№09 м.Львів, вул.Мучна, 2 7a941b59-8555-11e1-8b38-00155d01cd01",Львівська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"А-22 Львівська обл.. смт. Брюховичі, вул. Сухомлинського, 10 ",Львівська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Рівненська обл., Дубенський р-н, м.Радивилів, вул.Почаївська, 51",Рівненська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"А-7 м. Тернопіль, вул. Живова, 9 ae285166-4b2b-11ea-97da-0cc47aff6138",Тернопільська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"А-2 м. Тернопіль, вул. Текстильна, 2 0fdb2df6-4b2b-11ea-97da-0cc47aff6138",Тернопільська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"А-17 м. Тернопіль , вул. Лесі Українки, 9 fc64a615-4081-11ec-97ed-0cc47aff613b",Тернопільська
Онгліза 5мг таб.№30,5,"0368 м. Київ, вул.Пшенична,16",
Беталок Зок таб. в/о 100мг №30,1,"вул.Плещеєва, 34-А, м.Київ. Аптека №1""Госпітальний маркет""",
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"вул.Плещеєва, 34-А, м.Київ. Аптека №1""Госпітальний маркет""",
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",1,"Саксаганського 39 А ,м.Київ",
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"м. Київ,вул. Крістерів Родини, 20	  Аптека №31",
Форксіга таб. в/о 10мг №30 (10х3) бліст.,4,"м.Київ, вул.Антонова ,43  Аптека №1",
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"м.Київ пр-т.Бажана,24/1   Аптека №13",
Форксіга таб. в/о 10мг №30 (10х3) бліст.,5,"м.Київ, пр-т В.Порика, 3  Аптека №3",
Форксіга таб. в/о 10мг №30 (10х3) бліст.,3,"м.Київ, вул.Братиславська,14 Б  Аптека №6",
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"м.Київ вул.Сабурова,3  Аптека №10",
Форксіга таб. в/о 10мг №30 (10х3) бліст.,2,"м.Київ, вул.Братиславська,14 Б  Аптека №6",
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"м.Київ, вул.Тимошенко, 19",
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м.Київ, вул.Маршала Тимошенко, 21, корп.14, прим.№6",
Форксіга таб. в/о 10мг №30 (10х3) бліст.,6,"м.Київ, вул.Маршала Тимошенко, 21, корп.14, прим.№6",
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м.Київ вул.Градинська,11  Аптека №18",
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"вули. Сергія Москаленка, 39, м.Бровари, Київська обл. Аптека №3 #А3",Київська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,5,"вул.Північна, 6-В, м.Київ. Аптека №1 Калина",
Форксіга таб. в/о 10мг №30 (10х3) бліст.,5,"пр-т Леся Курбаса, 2/13, 	м.Київ",
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",1,"с. Стоянка, вул. Дачна, 1-Б, Києво-Святошинський р-н",Київська
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",1,"Київська смт Коцюбинське, вул.Пономарьова, 6/2, (Ірпінський ЦПМСД) Аптечний пункт №1  аптеки №4                     ",Київська
Крестор таб. в/о 10мг №28 (14х2) бліст.,1,"м. Березне, вул.Андріївська, 3",Рівненська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"А-9 м. Нетішин, пр. Незалежності, 22 Б 83b8808c-40f1-11ea-97da-0cc47aff6138",Хмельницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Миронівка, вул.Соборності, 133, прим.22",Київська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Київська обл., Обухівський р-н., м. Богуслав, вул. Миколаївська , 51 ",Київська
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",2,"Київська обл., Обухівський р-н., м. Богуслав, вул. Миколаївська , 51 ",Київська
"Будесонід Астразенека сусп.д/роз.0,25мг/мл 2мл №20",1,"м. Хмельницький, вул. Хотовицького, 7",Хмельницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"А-4 м. Хмельницький, вул. Зарічанська, 38 64cbd756-40f1-11ea-97da-0cc47aff6138",Хмельницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"А-12 м. Хмельницький, пр. Миру, 88/19 224ec21b-4b2a-11ea-97da-0cc47aff6138",Хмельницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Аптека №7 м.Хмельницький, пр. Миру, 61/1а ",Хмельницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м. Хотин, вул. Б. Хмельницького, 7",Чернівецька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"КА-66 м. Бар, вул. Каштанова, 5, прим.1",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КА-35 м. Бар, вул. Героїв Майдану, 30",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Хмельницька обл., м.Кам'янець-Подільський, вул.Князів Коріатовичів, 66",Хмельницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м.Кам'янець-Подільский, пр.Грушевського, 22/1-1, Хмельницька обл.",Хмельницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",2,"вул. пр.Матросова, 30, Кам'янець-Подільський, Хмельницька обл.",Хмельницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"КА-86 смт Літин, вул. Соборна, 26",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КА-86 смт Літин, вул. Соборна, 26",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"КА-86 смт Літин, вул. Соборна, 26",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"КФ А-98 м. Хмільник, проспект Свободи, 4",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"КА-86 смт Літин, вул. Соборна, 26",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"смт Літин, вул. Соборна, 33/3",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КА-153 м.Біла Церква, б.Олександрійський, 175, прим.2",Київська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"КА-152 м.Біла Церква, вул.Митрофанова, б.9, прим.88",Київська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"КА-153 м.Біла Церква, б.Олександрійський, 175, прим.2",Київська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м. Фастів, вул. Соборна, 65-А",Київська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"КА-48 смт Чернівці, вул.Святомиколаївська, 99",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,2,"КА-45 м. Шаргород, вул. Героїв Майдану, 268-Б",Вінницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",5,"КА-67 м. Жмеринка, вул. Б.Хмельницького, 4",Вінницька
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,1,"КА-45 м. Шаргород, вул. Героїв Майдану, 268-Б",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"КА-55 м. Могилів-Подільський, вул. Стависька, 10",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-18 м. Вінниця, вул. Келецька, 103",Вінницька
Крестор таб. в/о 10мг №28 (14х2) бліст.,2,"м. Вінниця, вул. Келецька, 66",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м. Вінниця, вул. Келецька, 66",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,15,"Ф-103 м. Вінниця, вул. Хмельницьке шосе, 96-А",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,9,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,2,"Ф-111 с.Лука-Мелешківська, вул.Тиврівське шосе, 2",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",2,"Ф-111 с.Лука-Мелешківська, вул.Тиврівське шосе, 2",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,3,"Ф-101 м. Вінниця, вул. Соборна, 84",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,5,"Ф-101 м. Вінниця, вул. Соборна, 84",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,5,"Ф-102 м. Вінниця, вул. Пирогова, 112-А",Вінницька
Ксігдуо Пролонг таб. в/о 5мг/1000мг №28(4х7)бліст.,2,"Ф-106 м. Вінниця, пр-т. Коцюбинського,35",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",-8,"м.Вінниця, вул.Київська, 136-Г",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"159 Кривий Ріг, вул.Едуарда Фукса 3",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м. Запоріжжя, Оріхівське шоссе, 10, КУ ""ЗОКЛ"" Запорізької обласної ради",Запоріжська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"97 Запоріжжя, вул.Українська 57",Запоріжська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"169 Запоріжжя, вул.Запорізька 6",Запоріжська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"117 Запоріжжя, вул.Новгородська 11",Запоріжська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"198 Запоріжжя, вул.Північнокільцева 15",Запоріжська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"206 м.Кам'янське, пр-т Перемоги, 35-Д",Дніпропетровська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"119 Кам'янське, пр.Тараса Шевченка 27",Дніпропетровська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"м.Дніпро, вул.Князя Володимира Великого, 20, прим.57",
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"193 Кропивницький, вул.Велика Перспективна 17/10",Кіровоградська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"193 Кропивницький, вул.Велика Перспективна 17/10",Кіровоградська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"смт.Новгородка,вул.Криворіжська,37,Кіровоградська обл.(Новгородківська лікарня)",Кіровоградська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м. Чернівці, вул.Фастівська, 2",Чернівецька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,2,"А-15 Чернівецька обл., смт Лужани, вул. Центральна, 61 ",Чернівецька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Івано-Франківська обл., Коломийський р-н, с.Нижній Вербіж, вул.Українська, 1К Аптека №1 ""Аскорбінка""",Івано-Франківська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Чернівецька обл., Новоселицький р-н, с.Котелеве,вул. Чапаєва,5 	Аптека №1",Чернівецька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Чернівецька обл., Новоселицький р-н, с.Ванчиківці, вул.Леніна, 153/3",Чернівецька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",5,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"Ф-12 м. Вінниця, вул. Київська, 68-а",Вінницька
Беталок Зок таб. в/о 25мг №14,1,"КА-121 Тернопільська обл., смт Микулинці, вул.Грушевського, 42",Тернопільська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"м. Тернопіль, вул. Шпитальна, 2",Тернопільська
